Name,URL,Price,Revenue,Income,Type,Status,Description,Location,Region
Hormone Health Subscription Business,https://businessexits.com/listing/hormone_health_subscription/,100000000.0,17678000.0,9138000.0,Service,Sale Pending,,,all
Ireland Construction Business,https://businessexits.com/listing/ireland_construction_co/,20100000.0,2504136620232024.0,286773920232024.0,Construction,,,,all
IT Services and Systems Integrator in Saudi Arabia,https://businessexits.com/listing/it_services_systems_integrator_sa/,Listing Price: Open to Offers,642444662023.0,85320392023.0,"Service, Software/SaaS",,,,all
Metal Building Supplier with US Manufacturing,https://businessexits.com/listing/metal_building_us_manufacturing/,18000000.0,33070486.0,3201165.0,"Construction, Service",,,,all
Emergency Plumbing Business in Southeast,https://businessexits.com/listing/emergency_plumbing_southeast/,1800000022000000.0,120000002024.0,39600002024.0,Service,Sale Pending,,,all
B2B Experiential Marketing Vendor,https://businessexits.com/listing/b2b_experiential_marketing/,1600000020000000.0,14277492.0,3297944.0,"Marketing & Consulting, Service",Sale Pending,,,all
Department of Defense Electrical Prime Contractor,https://businessexits.com/listing/dod_electrical_contractor/,18000000.0,11915508.0,5163084.0,"Construction, Service",Sale Pending,,,all
Texas Based Non-Emergency Medical Transport,https://businessexits.com/listing/non_emergency_medical_transport/,15000000.0,7743083.0,2874318.0,Service,Sale Pending,,,all
"Design & Build Studio for Themed Props, Structures, & Interactive Experiences",https://businessexits.com/listing/design_build_studio_interactive_exp/,12000000.0,100224342024.0,30577302024.0,"Construction, Manufacturing, Service",Sale Pending,,,all
Government Contract ERP Service Business,https://businessexits.com/listing/government_contract_erp/,12000000.0,14046972.0,2572171.0,"Service, Software/SaaS",Sale Pending,,,all
Multi-Location Rheumatology Practice – Physician Staying On,https://businessexits.com/listing/thriving_multi_location_rheumatology_practice/,10500000.0,15057373.0,1831385.0,Service,,,,all
Thriving Texas HVAC Company Specializing in Residential New Construction,https://businessexits.com/listing/texas_hvac_rnc/,10000000.0,21986180.0,2284289.0,Service,Sale Pending,,,all
"IT Services Business: Growing, Remote, with a Potential CEO in Place",https://businessexits.com/listing/erp_service_business/,10000000.0,4649351.0,2553481.0,Software/SaaS,Sale Pending,,,all
Cell Phone Tower Installation & Repair,https://businessexits.com/listing/cell_phone_towerinstall/,8000000.0,8927055.0,1946908.0,Service,Sale Pending,,,all
Southeast-Based Tourism Aviation Business,https://businessexits.com/listing/southeast_based_tourism_aviation_business/,8500000.0,4597262.0,1717367.0,Retail,,,,all
Arizona Addiction Treatment Center,https://businessexits.com/listing/az_addiction_treatment/,8000000.0,500839520232024.0,173152020232024.0,Service,Sale Pending,,,all
Network Design and Systems Management Specialists,https://businessexits.com/listing/network_design_sysmgmt/,8000000.0,15258095.0,2550467.0,"Service, Software/SaaS",Sale Pending,,,all
B2B Transmission Repair Business with 100+ Auto Shop Partners,https://businessexits.com/listing/b2b_transmission_repair/,7000000.0,5439349.0,1438698.0,Service,,,,all
Sleek Products Ecommerce Business,https://businessexits.com/listing/sleek_products_ecommerce/,7000000.0,8864286.0,1973918.0,Ecommerce,,,,all
Category Defining Window Manufacturer,https://businessexits.com/listing/category_defining_window_manuf/,7000000.0,4895568.0,1539977.0,"Manufacturing, Retail",Sale Pending,,,all
USA-Made Battery Manufacturer with Government Contracts,https://businessexits.com/listing/battery_manufacturer/,6000000.0,376407720222024.0,152928320222024.0,Manufacturing,Sale Pending,,,all
Montana Comprehensive Lawn Care Services,https://businessexits.com/listing/mt_comprehensive_lawn_care/,56000002.5,5256695.0,1305173.0,Service,Sale Pending,,,all
Highly Profitable Engineering Firm with Long History (📍Ireland),https://businessexits.com/listing/engineering_firm_ireland/,5400000.0,7125792.0,4419847.0,"Manufacturing, Service",Sale Pending,,,all
Automotive Parts Transportation Company,https://businessexits.com/listing/auto_parts_transport_co/,5300000.0,633349420232024.0,137945520232024.0,Service,Sale Pending,,,all
Canadian Business Coaching Franchiser,https://businessexits.com/listing/business_coaching_fanchiser/,5200000.0,192512720232024.0,87269920232024.0,Service,,,,all
Collision Repair Company,https://businessexits.com/listing/collision_repair_co/,4800000.0,22148512023.0,13013632023.0,Service,Sale Pending,,,all
Jewelry and Accessories Wholesale and Ecommerce Business,https://businessexits.com/listing/jewelry_ecomm_co/,3700000.0,317062120232024.0,94172420232024.0,Ecommerce,,,,all
Iconic West Coast Culinary Destination,https://businessexits.com/listing/iconic_wc_culinary_destination/,3500000.0,3881537.0,1026300.0,"Restaurant/Food, Retail",,,,all
Texas Family Entertainment Venues,https://businessexits.com/listing/tx_family_entertainment/,3500000.0,50000002025.0,16000002025.0,"Restaurant/Food, Service",,,,all
"Government Contracted Military Promotional Products Business. Remote, Low Workload, Dropshipping, USA Manufacturing.",https://businessexits.com/listing/government_contracted_promotional_products/,3500000.0,8179278.0,787952.0,"Retail, Service",,,,all
SoCal B2B Screen Printing w/Over $1M in SDE,https://businessexits.com/listing/b2b_screen_printing/,3100000.0,579202320232024.0,92121420232024.0,Service,Sale Pending,,,all
Specialized Canadian Recruitment Agency,https://businessexits.com/listing/recruitment_agency/,3000000.0,2283323.0,763741.0,Service,Sale Pending,,,all
Souvenir Gifts Manufacturer,https://businessexits.com/listing/souvenir_gifts_manufacturer/,2900000.0,2873250.0,792311.0,Wholesale/Distribution,Sale Pending,,,all
Maryland Residential HVAC Solutions,https://businessexits.com/listing/maryland_residential_hvac/,2600000.0,531435520222024.0,63735720222024.0,Service,Sale Pending,,,all
Luxury Residential Designer and Remodeler,https://businessexits.com/listing/luxury_design_remodeler/,2500000.0,213538220222024.0,72666420222024.0,"Construction, Service",,,,all
Remote Research Agency with 50% Net Margins and SBA Eligibility,https://businessexits.com/listing/remote_research_agency_sba_eligibility/,2200000.0,1296067.0,700605.0,Marketing & Consulting,Sale Pending,,,all
Medspa Consulting Business,https://businessexits.com/listing/medspa_consulting_business/,2000000.0,3059611.0,1859883.0,Marketing & Consulting,,,,all
New Jersey HVAC-R and Lead Remediation Company,https://businessexits.com/listing/nj_hvacr_lead_remediation/,1400000.0,3342373.0,402471.0,"Construction, Service",,,,all
Lead Generation Affiliate Marketing Company,https://businessexits.com/listing/affiliate_marketing_co/,1300000.0,319430920212023.0,34543720212023.0,"Marketing & Consulting, Software/SaaS",Sale Pending,,,all
Southeast Fireplace Store,https://businessexits.com/listing/southeast_fireplace_store/,1300000.0,24983863.0,4131033.0,"Retail, Service",Sale Pending,,,all
Roofing and Exterior Services Company,https://businessexits.com/listing/roofing_services_co/,1100000.0,196487420222024.0,41327120222024.0,"Construction, Service",Sale Pending,,,all
Rain Gutter and Sheet Metal Installation,https://businessexits.com/listing/rain_gutter_sheet_metal_install/,1100000.0,199440720222023.0,30781620222023.0,"Construction, Manufacturing",Sale Pending,,,all
USA Manufacturer of Food Production Equipment,https://businessexits.com/listing/food_production_manu/,1100000.0,669272020232024.0,30800920232024.0,Manufacturing,,,,all
Security Guard Service Company,https://businessexits.com/listing/security_guard_company/,750000.0,3187599.0,252225.0,Service,Sale Pending,,,all
